Stock,Date,Avg_Sentiment,News_Count,Sentiment_Normalized
TCS.NS,2026-02-11,0.34,1,0.67
TCS.NS,2026-02-12,-0.4389,1,0.28054999999999997
TCS.NS,2026-02-19,0.4574,1,0.7287
TCS.NS,2026-02-24,0.0,1,0.5
TCS.NS,2026-03-05,0.6537,1,0.82685
TCS.NS,2026-03-11,-0.1027,1,0.44865
TCS.NS,2026-03-14,0.296,1,0.648
TCS.NS,2026-03-23,-0.6597,1,0.17015000000000002
TCS.NS,2026-03-24,-0.296,1,0.352
TCS.NS,2026-03-25,-0.296,1,0.352
TCS.NS,2026-03-27,0.3286,2,0.6643
